isin,ticker,name,issuer,source_url
AT0000662275,FFH6C,3 BANKEN OESTERREICH-FDS,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
BE0003698124,DIEG,DIEGEM KENNEDYCERT (DIEG),,https://bourse.fortuneo.fr/api/trackers/search/?page=1&additionalParams=%7B%22pea%22%3A%20%22true%22%7D
DE0002635273,EXSB,ISHARES DIVDAX UCITS ETF,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933923,EXS3,ISHARES MDAX UC.ETF EOA,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933931,EXS1,iShares Core DAX® UCITS ETF (DE) - EUR ACC (EXS1),,https://bourse.fortuneo.fr/api/trackers/search/?page=1&additionalParams=%7B%22pea%22%3A%20%22true%22%7D
DE0005933931,EXS1,iShares Core DAX UCITS ETF EUR,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933931,1rAEXS1,iShares Core DAX(r) ETF (DE) Acc,BlackRock Asset Management Deutschland AG,https://www.boursorama.com/bourse/trackers/recherche/?beginnerEtfSearch%5Beligibility%5D%5B0%5D=taxation
DE0005933956,EXW1,ISH.CORE EO STOX.50 U.ETF,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933972,EXS2,ISHARES TECDAX UC.E.ACC,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0008478058,FEZTC,FT FRANKFURT-EFF.-FDS,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0008488206,FUIB5,UBS(D)AKT.FDS-SPEC. I DTL,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0008491002,FU1ID,UNIFONDS,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0D8Q07,EXSI,ISHARES EURO STOXX U.ETF,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0D8Q15,GXW,iShares STOXX EU Enlarged 15 (DE) (GXW),,https://bourse.fortuneo.fr/api/trackers/search/?page=1&additionalParams=%7B%22pea%22%3A%20%22true%22%7D
DE000A0D8Q23,EXXX,ISHARES ATX UCITS ETF,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0F5UG3,EXXV,IS.DJ EUROZ.SUST.SC.U.ETF,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0H0728,CMSE,ISHARES DIVERS COMMODITY SWAP UCITS ETF (CMSE),,https://bourse.fortuneo.fr/api/trackers/search/?page=1&additionalParams=%7B%22pea%22%3A%20%22true%22%7D
DE000A0H0728,CMSE,iShares Diversified Commodity,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0H0728,1rTCMSE,iShares Diversified Commodity Swap (DE),BlackRock Asset Management Deutschland AG,https://www.boursorama.com/bourse/trackers/recherche/?beginnerEtfSearch%5Beligibility%5D%5B0%5D=taxation
DE000A0H08Q4,EXV3,ISHS STEU600 TEC.ETF EOD,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0Q4R28,EXV5,ISHS SE.600 A+P U.ETF EOD,,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
