isin,ticker,name,issuer,index_tracked,replication,ter,source_url
FR0011550193,,BNP Paribas Easy STOXX Europe 600,,,,"0,19 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0011869304,,Amundi PEA Immobilier Europe (FTSE EPRA/NAREIT),,,,"0,40 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0011871110,,Amundi PEA Nasdaq-100,,,,"0,30 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0011871128,,Amundi PEA S&P 500,,,,"0,12 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0013380607,,Amundi CAC 40,,,,"0,25 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0013412020,,Amundi PEA Emergent (MSCI Emerging) ESG Transition,,,,"0,30 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR001400U5Q4,,Amundi PEA Monde (MSCI World),,,,"0,20 %",https://finary.com/fr/blog/bourse/etf/etf-pea
IE0002XZSHO1,,iShares MSCI World Swap PEA,,,,"0,20 %",https://finary.com/fr/blog/bourse/etf/etf-pea
IE00B53L3W79,,iShares Core EURO STOXX 50,,,,"0,10 %",https://finary.com/fr/blog/bourse/etf/etf-pea
LU1681042864,,Amundi PEA MSCI USA ESG Selection,,,,"0,35 %",https://finary.com/fr/blog/bourse/etf/etf-pea
FR0011550185,,BNP Paribas Easy S&P 500,,,,"0,15 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0012739431,,BNP Paribas Easy Euro Stoxx 50,,,,"0,18 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0013380607,,Amundi CAC 40,,,,"0,25 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0013412020,,Amundi PEA MSCI Emerging Markets ESG,,,,"0,20 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0013412269,,Amundi PEA Nasdaq-100,,,,"0,30 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0013412285,,Amundi PEA S&P 500 ESG,,,,"0,25 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0014003IY1,,Amundi MSCI World II,,,,"0,38 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU0908500753,,Amundi STOXX Europe 600,,,,"0,07 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681038672,,Amundi Russell 2000,,,,"0,35 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681042609,,Amundi MSCI Europe,,,,"0,15 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681043599,,Amundi MSCI World UCITS ETF,,,,"0,38 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681044563,,Amundi MSCI Emerging Asia,,,,"0,20 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681046188,,Amundi PEA MSCI Europe Healthcare,,,,"0,25 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU1681046691,,Amundi PEA MSCI Europe IT,,,,"0,25 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
LU2182388400,,Amundi EURO ISTOXX Climate Paris Aligned,,,,"0,18 %",https://finref.fr/fiches/liste-etf-pea-eligibles/
FR0000447039,,"€STR capitalisé + 8,5 points de base ✓ éligible PEA",,,,"0,24 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0011440478,,MSCI EM EMEA Ex-Egypt ESG Broad CTB Select ✓ éligible PEA,,,,"0,55 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0011550185,,BNP Paribas Easy S&P 500,,,,"0,12 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0011550193,,EURO Stoxx 600 NR ✓ éligible PEA,,,,"0,18 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0011871110,,Nasdaq 100 ✓ éligible PEA,,,,"0,30 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0013346681,,Solactive €STR Overnight Total Return ✓ éligible PEA,,,,"0,40 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0013380607,,CAC 40 ✓ éligible PEA,,,,"0,25 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0013412020,,MSCI EM ex-Egypt ESG Broad CTB Select ✓ éligible PEA,,,,"0,30 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0013412285,,S&P 500 Scored & Screened+ ✓ éligible PEA,,,,"0,25 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR001400U5Q4,,Amundi PEA Monde (MSCI World),,,,"0,20 %",https://investissements-faciles.com/meilleurs-etf-pea/
IE0002XZSHO1,,iShares MSCI World Swap PEA,,,,"0,20 %",https://investissements-faciles.com/meilleurs-etf-pea/
IE00B53L3W79,,EURO Stoxx 50 NR ✓ éligible PEA,,,,"0,10 %",https://investissements-faciles.com/meilleurs-etf-pea/
IE00B945VV12,,FTSE Developed Europe ✓ éligible PEA,,,,"0,10 %",https://investissements-faciles.com/meilleurs-etf-pea/
LU0292095535,,EURO STOXX Quality Dividend 50 index ✓ éligible PEA,,,,"0,31 %",https://investissements-faciles.com/meilleurs-etf-pea/
LU1598690169,,MSCI EMU Value ✓ éligible PEA,,,,"0,40 %",https://investissements-faciles.com/meilleurs-etf-pea/
LU2195226068,,S&P Eurozone LargeMidCap Net Zero 2050 Paris-Aligned ESG ✓ éligible PEA,,,,"0,00 %",https://investissements-faciles.com/meilleurs-etf-pea/
FR0007080973,,Amundi CAC 40 UCITS ETF (C40),,,,"0,25 %",https://lenouvelinvestisseur.com/etf-pea/
FR0011550185,,BNP Paribas Easy S&P 500 UCITS ETF,,,,"0,15 %",https://lenouvelinvestisseur.com/etf-pea/
FR0013412269,,Amundi PEA Nasdaq-100 UCITS ETF (PANX),,,,"0,23 %",https://lenouvelinvestisseur.com/etf-pea/
FR0013412285,,Amundi PEA S&P 500 UCITS ETF (PE500),,,,"0,15 %",https://lenouvelinvestisseur.com/etf-pea/
LU0908500753,,Lyxor Core Euro Stoxx 50 (DR) UCITS ETF,,,,"0,07 %",https://lenouvelinvestisseur.com/etf-pea/
LU1681043599,,Amundi MSCI World UCITS ETF (CW8),,,,"0,38 %",https://lenouvelinvestisseur.com/etf-pea/
FR0011550185,,BNP Paribas Easy S&P 500 UCITS ETF EUR,,,,"0,12 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
FR0011550193,,BNP Paribas Easy Stoxx Europe 600 UCITS ETF,,,,"0,18 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
FR0013412012,,Amundi PEA MSCI Emerging Asia ESG Leaders,,,,"0,30 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
FR0013412038,,Amundi ETF PEA MSCI Europe UCITS – EUR,,,,"0,15 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
FR001400U5Q4,,Amundi PEA Monde (MSCI World) UCITS ETF,,,,"0,20 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
IE000DQLYVB9,,iShares S&P 500 Swap PEA UCITS ETF,,,,"0,10 %",https://prosper-conseil.fr/placements/quels-sont-les-meilleurs-etf-eligibles-au-pea/
FR0007052782,,AMUNDI ETF CAC 40,Amundi Asset Management,CAC 40,,0.25%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0007054358,,AMUNDI ESTOXX50,Amundi Asset Management,EURO STOXX 50,,0.2%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010010827,,AMUNDI FTSE MIB,Amundi Asset Management,FTSE MIB,,0.35%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010150458,,BNPP CAC 40 ESG,BNP PARIBAS ASSET MANAGEMENT Europe,Euronext CAC40 ESG GrossReturn,,0.25%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010342592,,Amundi NSDQ LEV,Amundi Asset Management,NASDAQ-100 Leveraged,,0.6%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010405431,,AMUNDI MSCI GREECE,Amundi Asset Management,MSCI Greece IMI + Coca-Cola 20,,0.45%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010411884,,AMUNDI ETF BX4,Amundi Asset Management,CAC 40,,0.6%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010468983,,AMUNDI ETF SX50 DL,Amundi Asset Management,EURO STOXX 50 Daily Leverage,,0.4%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010591362,,AMUNDI ETF SHT CAC,Amundi Asset Management,CAC 40 Short,,0.4%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010592014,,AMUNDI ETF LEV CAC,Amundi Asset Management,CAC 40 Leverage,,0.4%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010655704,,AMUNDI ETF MS FRA,Amundi Asset Management,MSCI France,,0.25%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010655712,,AMUNDI ETF DAX DR,Amundi Asset Management,DAX Net return,,0.1%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010655746,,AMUNDI ETF MS SPA,Amundi Asset Management,IBEX 35,,0.3%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010717090,,AMUNDI ETF EMU HDV,Amundi Asset Management,MSCI EMU High Dividend Yield,,0.3%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
FR0010755611,,AMUNDI ETF LEV USA,Amundi Asset Management,MSCI USA Leveraged 2x Daily,,0.35%,https://raw.githubusercontent.com/corentinbouton/ETF-scrapper/main/data/ETFs_20-07-24.xlsx
