"Instrument Fullname";"ESG Classification";Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Trackers"
"10 Aug 2026"
"All datapoints provided as of end of last active trading day."
"Amundi PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF Acc";-;"AM ASIP EXJ PEA";FR0011869312;PAEJ;"Euronext Paris";EUR;26.635;26.675;26.48;26.555;" 17:27";CET;24116;640357.71;26.53;
"Amundi MSCI EMU ESG Selection - UCITS ETF DR - EUR (D)";"ESG ETF art. 8";"AM EMU ESG LEAD D";LU2059756325;CMUD;"Euronext Paris";EUR;87.38;87.57;87.12;87.12;" 17:35";CET;257;22438.33;87.12;
"Amundi MSCI EMU ESG Selection - UCITS ETF DR - EUR (C)";"ESG ETF art. 8";"AM EMU ESG LEAD EU";LU1602144575;CMU;"Euronext Paris";EUR;430.40;431.30;428.95;428.95;" 17:35";CET;420;180457.85;428.95;
"Amundi PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF Acc";-;"AM IMMO EUR PEA";FR0011869304;PMEH;"Euronext Paris";EUR;13.232;13.314;13.20;13.244;" 17:35";CET;5438;72065.992;13.244;
"Amundi PEA Nasdaq-100 UCITS ETF Acc";-;"AM NSDQ 100 PEA";FR0011871110;PUST;"Euronext Paris";EUR;103.52;103.68;102.84;103.02;" 17:35";CET;38666;3998381.38;103.02;
"Amundi PEA S&P 500 UCITS ETF EUR Hedged Acc";-;"AM PEA SP5H EUR";FR0011871136;PSPH;"Euronext Paris";EUR;27.095;27.12;27.035;27.075;" 17:35";CET;19656;532459.75;27.075;
"Amundi PEA S&P US Consumer Staples Screened UCITS ETF - Acc";"ESG ETF art. 8";"Am PEA US ConsStpl";FR001400KE06;COSE;"Euronext Paris";EUR;11.298;11.298;11.222;11.236;" 17:29";CET;125;1409.132;11.242;
"Amundi PEA MSCI USA Value Advanced UCITS ETF - Acc";"ESG ETF art. 8";"AM PEA USA Value";FR001400KH45;USVE;"Euronext Paris";EUR;15.056;15.056;15.014;15.05;" 17:04";CET;524;7882.282;15.042;
"Amundi PEA Luxe Monde UCITS ETF Acc";-;AMUETFGLUXIMXPAR;FR001400S9V0;MLUX;"Euronext Paris";EUR;9.881;9.881;9.79;9.812;" 17:26";CET;1207;11905.404;9.809;
"AMUNDI PEA MONDE MSCI World UCITS ETF Acc";-;AMUETFMSDEWIXPAR;FR001400U5Q4;DCAM;"Euronext Paris";EUR;6.253;6.255;6.238;6.247;" 17:35";CET;1262366;7888218.626;6.247;
"Amundi PEA Emergent (MSCI Emerging) ESG Transition UCITS ETF S - Acc";"ESG ETF art. 8";AMUETFMXEECCXPAR;FR001400ZGO4;PEMS;"Euronext Paris";EUR;7.304;7.304;7.245;7.266;" 17:35";CET;22531;164060.108;7.266;
"Amundi PEA Global (MSCI ACWI) UCITS ETF Acc";-;AMUETFNDEEWNXPAR;FR0014017NX3;GPEA;"Euronext Paris";EUR;5.067;5.075;5.058;5.058;" 17:35";CET;433637;2197083.001;5.058;
"Amundi PEA Nasdaq-100 UCITS ETF S - Acc";-;AMUETFNSDQXPAR;FR001400ZGR7;PNAS;"Euronext Paris";EUR;6.788;6.801;6.75;6.755;" 17:35";CET;27664;187738.826;6.755;
