isin,ticker,name,issuer,index_tracked,replication,ter,source_url
DE000A0D8Q23,EXXX,iShares ATX UCITS ETF (DE),iShares,Austrian Traded Index (ATX) Wienerborse EUR NET,Physique / Réplication totale,0.33,https://www.blackrock.com/fr/intermediaries/products/251713/ishares-atx-ucits-etf-de-fund
DE0005933931,DAXEX,iShares Core DAX® UCITS ETF (DE) EUR (Acc),iShares,DAX (Performance index) NET (EUR),Physique / Réplication totale,0.16,https://www.blackrock.com/fr/intermediaries/products/251464/ishares-dax-ucits-etf-de-fund
DE0005933956,EXW1,iShares Core EURO STOXX 50 UCITS ETF (DE),iShares,STOXX Eurozone 50 (Net Return),Physique / Réplication totale,0.10,https://www.blackrock.com/fr/intermediaries/products/251783/ishares-euro-stoxx-50-ucits-etf-de-fund
IE00B53L3W79,CSSX5E,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),iShares,STOXX Eurozone 50 (Net Return),Physique / Réplication totale,0.10,https://www.blackrock.com/fr/intermediaries/products/253712/ishares-euro-stoxx-50-b-ucits-etf-acc-fund
IE0008471009,EUE,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),iShares,STOXX Eurozone 50 (Net Return),Physique / Réplication totale,0.10,https://www.blackrock.com/fr/intermediaries/products/251781/ishares-euro-stoxx-50-ucits-etf-inc-fund
IE00B53QG562,CSEMU,iShares Core MSCI EMU UCITS ETF EUR (Acc),iShares,MSCI EMU Net Index (EUR),Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/253729/ishares-msci-emu-ucits-etf
IE00BYXZ2585,CEUD,iShares Core MSCI EMU UCITS ETF EUR (Dist),iShares,MSCI EMU Net Index (EUR),Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/287343/ishares-core-msci-emu-ucits-etf
IE00BKBF6616,CEUU,iShares Core MSCI EMU UCITS ETF USD Hedged (Acc),iShares,MSCI EMU Net Index (EUR),Physique / Réplication totale,0.15,https://www.blackrock.com/fr/intermediaries/products/309033/ishares-core-msci-emu-ucits-etf
DE0002635273,EXSB,iShares DivDAX® UCITS ETF (DE),iShares,DIVDAX GR,Physique / Réplication totale,0.31,https://www.blackrock.com/fr/intermediaries/products/251763/ishares-divdax-ucits-etf-de-fund
DE000A0H0728,CMSE,iShares Diversified Commodity Swap UCITS ETF (DE),iShares,Bloomberg Commodity Euro Total Return Index,Synthétique / Swap,0.46,https://www.blackrock.com/fr/intermediaries/products/251772/ishares-diversified-commodity-swap-ucits-etf-de-fund
DE000A0F5UG3,EXXV,iShares Dow Jones Eurozone Leaders Screened UCITS ETF (DE),iShares,Dow Jones Best-in-Class Eurozone Index ex ALL/AE Net (EUR),Physique / Réplication totale,0.41,https://www.blackrock.com/fr/intermediaries/products/251706/ishares-dow-jones-eurozone-sustainability-screened-ucits-etf-de-fund
DE000A2QP372,EXA1,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc),iShares,EURO STOXX Banks 30-15 Net TR in EUR (EUR),Physique / Réplication totale,0.51,https://www.blackrock.com/fr/intermediaries/products/325273/ishares-euro-stoxx-banks-30-15-ucits-etf-de
DE0006289309,EXX1,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Dist),iShares,EURO STOXX Banks 30-15 Net TR in EUR (EUR),Physique / Réplication totale,0.51,https://www.blackrock.com/fr/intermediaries/products/251784/ishares-euro-stoxx-banks-de-fund
DE000A2QP380,IDVA,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR (Acc),iShares,STOXX Eurozone Select Div 30 (EUR),Physique / Réplication totale,0.31,https://www.blackrock.com/fr/intermediaries/products/325271/ishares-euro-stoxx-select-dividend-30-ucits-etf-de
DE0002635281,EXSG,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR (Dist),iShares,STOXX Eurozone Select Div 30 (EUR),Physique / Réplication totale,0.31,https://www.blackrock.com/fr/intermediaries/products/251788/ishares-euro-stoxx-select-dividend-30-ucits-etf-de-fund
DE000A0D8Q07,EXSI,iShares EURO STOXX UCITS ETF (DE),iShares,STOXX Eurozone,Physique / Réplication totale,0.20,https://www.blackrock.com/fr/intermediaries/products/251780/ishares-euro-stoxx-ucits-etf-de-fund
DE0005933923,EXS3,iShares MDAX® UCITS ETF (DE) EUR (Acc),iShares,MDAX (Performance Index) NET,Physique / Réplication totale,0.51,https://www.blackrock.com/fr/intermediaries/products/251845/ishares-mdax-ucits-etf-de-fund
IE00BHZPJ015,EDM4,iShares MSCI EMU CTB Enhanced ESG UCITS ETF EUR (Acc),iShares,MSCI EMU ESG Enhanced CTB Index,Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/307653/ishares-msci-emu-ctb-enhanced-esg-ucits-etf
IE00BHZPHZ28,EMUD,iShares MSCI EMU CTB Enhanced ESG UCITS ETF EUR (Dist),iShares,MSCI EMU ESG Enhanced CTB Index,Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/307585/ishares-msci-emu-ctb-enhanced-esg-ucits-etf
IE00BL6K8D99,EMPA,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR (Acc),iShares,MSCI EMU CLIMATE PARIS ALIGNED BENCHMARK SELECT PAB INDEX (EUR),Physique / Réplication totale,0.15,https://www.blackrock.com/fr/intermediaries/products/318928/ishares-msci-emu-paris-aligned-climate-ucits-etf
IE000FOSCLU1,MPAB,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR (Dist),iShares,MSCI EMU CLIMATE PARIS ALIGNED BENCHMARK SELECT PAB INDEX (EUR),Physique / Réplication totale,0.15,https://www.blackrock.com/fr/intermediaries/products/319158/ishares-msci-emu-paris-aligned-climate-ucits-etf
IE00BJLKK341,SMUA,iShares MSCI EMU SRI UCITS ETF EUR (Acc),iShares,MSCI EMU SRI SELECT REDUCED FOSSIL FUEL NET Index (EUR),Physique / Réplication totale,0.20,https://www.blackrock.com/fr/intermediaries/products/311792/ishares-msci-emu-sri-ucits-etf
IE00BFNM3B99,SAUM,iShares MSCI EMU Screened UCITS ETF EUR (Acc),iShares,MSCI EMU SCREENED NET Index,Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/305392/ishares-msci-emu-screened-ucits-etf
IE00BFNM3C07,SMUD,iShares MSCI EMU Screened UCITS ETF EUR (Dist),iShares,MSCI EMU SCREENED NET Index,Physique / Réplication totale,0.12,https://www.blackrock.com/fr/intermediaries/products/305391/ishares-msci-emu-screened-ucits-etf
IE00BMW42413,ESIT,iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc),iShares,MSCI Europe Information Technology 20/35 Capped Index (EUR),Physique / Réplication totale,0.18,https://www.blackrock.com/fr/intermediaries/products/315818/ishares-msci-europe-information-technology-sector-ucits-etf
IE00BP3QZJ36,IFRE,iShares MSCI France UCITS ETF EUR (Acc),iShares,"MSCI Developed - France Net Returns, in EUR (Official levels)",Physique / Réplication totale,0.25,https://www.blackrock.com/fr/intermediaries/products/269829/ishares-msci-france-ucits-etf
IE0002XZSHO1,WPEA,iShares MSCI World Swap PEA UCITS ETF EUR (Acc),iShares,MSCI World Index,Synthétique / Swap,0.20,https://www.blackrock.com/fr/intermediaries/products/335178/ishares-msci-world-swap-pea-ucits-etf
IE00055B2JD3,WPEH,iShares MSCI World Swap PEA UCITS ETF EUR Hedged (Acc),iShares,MSCI World Index,Synthétique / Swap,0.20,https://www.blackrock.com/fr/intermediaries/products/345936/ishares-msci-world-swap-pea-ucits-etf
IE000DQLYVB9,SPEA,iShares S&P 500 Swap PEA UCITS ETF EUR (Acc),iShares,S&P 500 Net TR Index (EUR),Synthétique / Swap,0.10,https://www.blackrock.com/fr/intermediaries/products/342916/ishares-s-p-500-swap-pea-ucits-etf
DE000A2QP4A8,SAOT,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Acc),iShares,STOXX Europe 600 Automobiles & Parts (Capped) TR (EUR),Physique / Réplication totale,0.46,https://www.blackrock.com/fr/intermediaries/products/326637/ishares-stoxx-europe-600-automobiles-parts-ucits-etf-de
DE000A0Q4R28,EXV5,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Dist),iShares,STOXX Europe 600 Automobiles & Parts (Capped) TR (EUR),Physique / Réplication totale,0.46,https://www.blackrock.com/fr/intermediaries/products/251932/ishares-stoxx-europe-600-automobiles-parts-ucits-etf-de-fund
DE000A2QP398,STEC,iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Acc),iShares,STOXX Europe 600 Technology (Capped) TR (EUR),Physique / Réplication totale,0.46,https://www.blackrock.com/fr/intermediaries/products/326632/ishares-stoxx-europe-600-technology-ucits-etf-de
DE000A0H08Q4,EXV3,iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Dist),iShares,STOXX Europe 600 Technology (Capped) TR (EUR),Physique / Réplication totale,0.46,https://www.blackrock.com/fr/intermediaries/products/251961/ishares-stoxx-europe-600-technology-ucits-etf-de-fund
DE0005933972,EXS2,iShares TecDAX® UCITS ETF (DE) EUR (Acc),iShares,TecDAX (Performance Index) NET (EUR),Physique / Réplication totale,0.51,https://www.blackrock.com/fr/intermediaries/products/251975/ishares-tecdax-ucits-etf-de-fund
DE000A2QP323,EXIB,iShares TecDAX® UCITS ETF (DE) EUR (Dist),iShares,TecDAX (Performance Index) NET (EUR),Physique / Réplication totale,0.51,https://www.blackrock.com/fr/intermediaries/products/318330/ishares-tecdax-ucits-etf-de
IE000I4R3252,EPEA,iShares € Short Term Swap PEA UCITS ETF EUR (Acc),iShares,Solactive ESTR +8.5 T+2 Settlement Daily Total Return Index,Synthétique / Swap,0.20,https://www.blackrock.com/fr/intermediaries/products/345257/ishares-short-term-swap-pea-ucits-etf
