isin,ticker,name,issuer,index_tracked,replication,ter,source_url
FR0007052782,CAC,Amundi CAC 40 UCITS ETF Dist,Amundi,CAC 40 Total Return Index,Direct(Physical),0.25,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-cac-40-ucits-etf-dist/fr0007052782
FR0007054358,MSE,Amundi EURO STOXX 50 II UCITS ETF Acc,Amundi,EURO STOXX 50 Net Return EUR,Direct(Physical),0.2,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-ii-ucits-etf-acc/fr0007054358
FR0010010827,ETFMIB,Amundi FTSE MIB UCITS ETF Dist,Amundi,FTSE MIB Net Total Return Index,Direct(Physical),0.35,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-ftse-mib-ucits-etf-dist/fr0010010827
FR0010251744,LYXIB,Amundi IBEX 35 UCITS ETF Dist,Amundi,IBEX 35 Net Return Index,Direct(Physical),0.3,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-ibex-35-ucits-etf-dist/fr0010251744
FR0010342592,LQQ,Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,Amundi,Nasdaq 100 Leveraged Notional Net Total Return Index,Indirect(Swap Based),0.6,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-nasdaq100-daily-2x-leveraged-ucits-etf-acc/fr0010342592
FR0010405431,GRE,Amundi MSCI Greece UCITS ETF Dist,Amundi,MSCI Greece IMI + Coca-Cola 20-35 Net Total Return,Direct(Physical),0.55,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-msci-greece-ucits-etf-dist/fr0010405431
FR0010411884,BX4,Amundi CAC 40 Daily (-2x) Inverse UCITS ETF Acc,Amundi,CAC 40 Double Short Gross Return,Indirect(Swap Based),0.6,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-cac-40-daily-2x-inverse-ucits-etf-acc/fr0010411884
FR0010424135,BSX,Amundi EURO STOXX 50 Daily (-1x) Inverse UCITS ETF Acc,Amundi,EURO STOXX 50 Short Return Index,Indirect(Swap Based),0.4,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-daily-1x-inverse-ucits-etf-acc/fr0010424135
FR0010468983,LVE,Amundi EURO STOXX 50 Daily (2x) Leveraged UCITS ETF Acc,Amundi,EURO STOXX 50 Daily Leverage Index,Indirect(Swap Based),0.4,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-daily-2x-leveraged-ucits-etf-acc/fr0010468983
FR0010591362,SHC,Amundi CAC 40 Daily (-1x) Inverse UCITS ETF Acc,Amundi,CAC 40 Short GR Index,Indirect(Swap Based),0.4,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-cac-40-daily-1x-inverse-ucits-etf-acc/fr0010591362
FR0010592014,LVC,Amundi CAC 40 Daily (2x) Leveraged UCITS ETF Acc,Amundi,CAC 40 Leveraged GR Index,Indirect(Swap Based),0.4,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-cac-40-daily-2x-leveraged-ucits-etf-acc/fr0010592014
FR0010655704,CF1,Amundi CAC Transition Climat UCITS ETF,Amundi,CAC SBT 1.5 NR Index,Direct(Physical),0.25,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-cac-transition-climat-ucits-etf/fr0010655704
FR0010655712,CG1,Amundi ETF DAX UCITS ETF DR,Amundi,DAX Net Retrun Index,Direct(Physical),0.1,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-etf-dax-ucits-etf-dr/fr0010655712
FR0010655746,CS1,Amundi IBEX 35 UCITS ETF Acc,Amundi,IBEX 35 Net Return Index,Direct(Physical),0.3,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-ibex-35-ucits-etf-acc/fr0010655746
FR0010717090,CD8,Amundi MSCI EMU High Dividend UCITS ETF Acc,Amundi,MSCI EMU High Dividend Yield Net Total Return Local Index,Direct(Physical),0.3,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-msci-emu-high-dividend-ucits-etf-acc/fr0010717090
FR0010755611,CL2,Amundi MSCI USA Daily (2x) Leveraged UCITS ETF Acc,Amundi,MSCI USA Leveraged 2X Index,Indirect(Swap Based),0.5,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-msci-usa-daily-2x-leveraged-ucits-etf-acc/fr0010755611
FR0011440478,PLEM,Amundi PEA Emergent EMEA (MSCI Emerging EMEA) ESG Transition UCITS ETF Acc,Amundi,MSCI EM EMEA Ex-Egypt ESG Broad CTB Select Index,Indirect(Swap Based),0.55,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-emergent-emea-msci-emerging-emea-esg-transition-ucits-etf-acc/fr0011440478
FR0011857234,MD4X,Amundi MDAX UCITS ETF Dist,Amundi,MDAX Net Return,Direct(Physical),0.2,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-mdax-ucits-etf-dist/fr0011857234
FR0011869270,PDJE,Amundi PEA S&P US Industrials Screened UCITS ETF - Acc,Amundi,S&P 500 Plus Industrials Enhanced Weighted & Screened Index,Indirect(Swap Based),0.5,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-sp-us-industrials-screened-ucits-etf-acc/fr0011869270
FR0011869304,PMEH,Amundi PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF Acc,Amundi,FTSE EPRA/NAREIT Developed Europe Net Return Index,Indirect(Swap Based),0.4,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-immobilier-europe-ftse-epranareit-ucits-etf-acc/fr0011869304
FR0011869312,PAEJ,Amundi PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF Acc,Amundi,MSCI AC Asia Pacific Ex Japan Net Total Return USD Index,Indirect(Swap Based),0.6,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-asie-pacifique-msci-ac-asia-pacific-ex-japan-ucits-etf-acc/fr0011869312
FR0011869320,PINR,Amundi PEA Inde (MSCI India) UCITS ETF Acc,Amundi,MSCI Emerging Markets India Net TR (USD),Indirect(Swap Based),0.85,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-inde-msci-india-ucits-etf-acc/fr0011869320
FR0011871078,PASI,Amundi PEA Chine (MSCI China) Screened UCITS ETF - Acc,Amundi,MSCI China Screened Select ex Thermal Coal Index,Indirect(Swap Based),0.65,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-chine-msci-china-screened-ucits-etf-acc/fr0011871078
FR0011871110,PUST,Amundi PEA Nasdaq-100 UCITS ETF Acc,Amundi,NASDAQ-100 Notional Net Total Return Index,Indirect(Swap Based),0.3,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-nasdaq100-ucits-etf-acc/fr0011871110
FR0011871128,PSP5,Amundi PEA S&P 500 UCITS ETF Acc,Amundi,S&P 500 Net Total Return Index,Indirect(Swap Based),0.12,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-sp-500-ucits-etf-acc/fr0011871128
FR0011871136,PSPH,Amundi PEA S&P 500 UCITS ETF EUR Hedged Acc,Amundi,S&P 500 Daily Hedged Euro Index Net TR,Indirect(Swap Based),0.12,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-sp-500-ucits-etf-eur-hedged-acc/fr0011871136
FR0011882364,AWAT,Amundi PEA Eau (MSCI Water) UCITS ETF - Capi,Amundi,MSCI ACWI IMI Water Custom Index,Indirect(Swap Based),0.6,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-pea-eau-msci-water-ucits-etf-capi/fr0011882364
FR0012399731,MSEC,Amundi EURO STOXX 50 II UCITS ETF CHF Hedged Acc,Amundi,EURO STOXX 50 Net Return EUR,Direct(Physical),0.2,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-ii-ucits-etf-chf-hedged-acc/fr0012399731
FR0012399772,MSEX,Amundi EURO STOXX 50 II UCITS ETF GBP Hedged Acc,Amundi,EURO STOXX 50 Net Return EUR,Direct(Physical),0.2,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-ii-ucits-etf-gbp-hedged-acc/fr0012399772
FR0012399806,MSEU,AMUNDI EURO STOXX 50 II UCITS ETF USD Hedged Acc,Amundi,EURO STOXX 50 Net Return EUR,Direct(Physical),0.2,https://www.amundietf.fr/fr/particuliers/produits/equity/amundi-euro-stoxx-50-ii-ucits-etf-usd-hedged-acc/fr0012399806
