isin,name,asset_class,ter,currency,use_of_profit,url
IE00BZ1BS790,Xtrackers MSCI World UCITS ETF 2D GBP Hedged,Actions,"0,14",GBP,Distribution,https://etf.dws.com/fr-fr/IE00BZ1BS790-msci-world-ucits-etf-2d-gbp-hedged/
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BJ0KDQ92-msci-world-ucits-etf-1c/
IE000ONQ3X90,Xtrackers MSCI World UCITS ETF 2C - EUR Hedged,Actions,"0,14",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000ONQ3X90-msci-world-ucits-etf-2c-eur-hedged/
IE00BK1PV551,Xtrackers MSCI World UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/IE00BK1PV551-msci-world-ucits-etf-1d/
IE0009KLWT21,Xtrackers MSCI World UCITS ETF 3C - CHF Hedged,Actions,"0,14",CHF,Capitalisation,https://etf.dws.com/fr-fr/IE0009KLWT21-msci-world-ucits-etf-3c-chf-hedged/
LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,Obligations,"0,10",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0290358497-eur-overnight-rate-swap-ucits-etf-1c/
LU0335044896,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1D,Obligations,"0,10",EUR,Distribution,https://etf.dws.com/fr-fr/LU0335044896-eur-overnight-rate-swap-ucits-etf-1d/
IE0002EI5AG0,Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,Actions,"0,30",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE0002EI5AG0-s-p-500-equal-weight-ucits-etf-2c-eur-hedged/
IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BLNMYC90-s-p-500-equal-weight-ucits-etf-1c/
IE000N5GJDD7,Xtrackers S&P 500 Equal Weight UCITS ETF 1D GBP Hedged,Actions,"0,17",GBP,Distribution,https://etf.dws.com/fr-fr/IE000N5GJDD7-s-p-500-equal-weight-ucits-etf-1d-gbp-hedged/
IE000CXLGK86,Xtrackers S&P 500 Equal Weight UCITS ETF 2D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE000CXLGK86-s-p-500-equal-weight-ucits-etf-2d/
LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C,Actions,"0,45",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274208692-msci-world-swap-ucits-etf-1c/
LU0659579733,Xtrackers MSCI World Swap UCITS ETF 4C EUR Hedged,Actions,"0,39",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0659579733-msci-world-swap-ucits-etf-4c-eur-hedged/
LU3353962601,Xtrackers MSCI World Swap UCITS ETF IC EUR Unlisted,Actions,"0,04",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3353962601-msci-world-swap-ucits-etf-ic-eur-unlisted/
LU2263803533,Xtrackers MSCI World Swap UCITS ETF 1D,Actions,"0,19",USD,Distribution,https://etf.dws.com/fr-fr/LU2263803533-msci-world-swap-ucits-etf-1d/
IE00BK1PV445,Xtrackers MSCI USA UCITS ETF 1D,Actions,"0,03",USD,Distribution,https://etf.dws.com/fr-fr/IE00BK1PV445-msci-usa-ucits-etf-1d/
IE00BG04M077,Xtrackers MSCI USA UCITS ETF 2C - EUR Hedged,Actions,"0,08",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BG04M077-msci-usa-ucits-etf-2c-eur-hedged/
IE00BG04LZ52,Xtrackers MSCI USA UCITS ETF 3C - CHF Hedged,Actions,"0,08",CHF,Capitalisation,https://etf.dws.com/fr-fr/IE00BG04LZ52-msci-usa-ucits-etf-3c-chf-hedged/
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,Actions,"0,03",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BJ0KDR00-msci-usa-ucits-etf-1c/
LU0380865021,Xtrackers Euro Stoxx 50 UCITS ETF 1C,Actions,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0380865021-euro-stoxx-50-ucits-etf-1c/
LU0274211217,Xtrackers Euro Stoxx 50 UCITS ETF 1D,Actions,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU0274211217-euro-stoxx-50-ucits-etf-1d/
IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,Actions,"0,18",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BTJRMP35-msci-emerging-markets-ucits-etf-1c/
IE000GWA2J58,Xtrackers MSCI Emerging Markets UCITS ETF 1D,Actions,"0,18",USD,Distribution,https://etf.dws.com/fr-fr/IE000GWA2J58-msci-emerging-markets-ucits-etf-1d/
LU1184092051,Xtrackers MSCI Europe UCITS ETF 2C USD Hedged,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/LU1184092051-msci-europe-ucits-etf-2c-usd-hedged/
LU1242369327,Xtrackers MSCI Europe UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/LU1242369327-msci-europe-ucits-etf-1d/
LU3184977299,Xtrackers MSCI Europe UCITS ETF IC EUR Unlisted,Actions,"0,06",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3184977299-msci-europe-ucits-etf-ic-eur-unlisted/
LU0274209237,Xtrackers MSCI Europe UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274209237-msci-europe-ucits-etf-1c/
LU2009147757,Xtrackers S&P 500 Swap UCITS ETF 1D,Actions,"0,07",USD,Distribution,https://etf.dws.com/fr-fr/LU2009147757-s-p-500-swap-ucits-etf-1d/
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0490618542-s-p-500-swap-ucits-etf-1c/
LU3353962783,Xtrackers S&P 500 Swap UCITS ETF IC EUR Unlisted,Actions,"0,05",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3353962783-s-p-500-swap-ucits-etf-ic-eur-unlisted/
LU2196473016,Xtrackers S&P 500 Swap UCITS ETF 7C GBP Hedged,Actions,"0,20",GBP,Capitalisation,https://etf.dws.com/fr-fr/LU2196473016-s-p-500-swap-ucits-etf-7c-gbp-hedged/
LU2196472984,Xtrackers S&P 500 Swap UCITS ETF 5C EUR Hedged,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU2196472984-s-p-500-swap-ucits-etf-5c-eur-hedged/
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BFMNPS42-msci-usa-esg-ucits-etf-1c/
IE000UMV0L21,Xtrackers MSCI USA ESG UCITS ETF 1D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE000UMV0L21-msci-usa-esg-ucits-etf-1d/
IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C EUR Hedged,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE0000MMQ5M5-msci-usa-esg-ucits-etf-2c-eur-hedged/
LU2581375073,Xtrackers MSCI USA Swap UCITS ETF 1D,Actions,"0,07",USD,Distribution,https://etf.dws.com/fr-fr/LU2581375073-msci-usa-swap-ucits-etf-1d/
LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274210672-msci-usa-swap-ucits-etf-1c/
IE00BGV5VN51,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BGV5VN51-artificial-intelligence-big-data-ucits-etf-1c/
LU0274209740,Xtrackers MSCI Japan UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274209740-msci-japan-ucits-etf-1c/
LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged,Actions,"0,40",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0659580079-msci-japan-ucits-etf-4c-eur-hedged/
LU0927735406,Xtrackers MSCI Japan UCITS ETF 2D USD Hedged,Actions,"0,40",USD,Distribution,https://etf.dws.com/fr-fr/LU0927735406-msci-japan-ucits-etf-2d-usd-hedged/
LU1215827756,Xtrackers MSCI Japan UCITS ETF 7C CHF Hedged,Actions,"0,25",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU1215827756-msci-japan-ucits-etf-7c-chf-hedged/
LU2581375230,Xtrackers MSCI Japan UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/LU2581375230-msci-japan-ucits-etf-1d/
LU1349386927,Xtrackers DAX UCITS ETF 1D,Actions,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU1349386927-dax-ucits-etf-1d/
LU0274211480,Xtrackers DAX UCITS ETF 1C,Actions,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0274211480-dax-ucits-etf-1c/
IE000Z0FC0G5,Xtrackers MSCI World ex USA UCITS ETF 1D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE000Z0FC0G5-msci-world-ex-usa-ucits-etf-1d/
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0006WW1TQ4-msci-world-ex-usa-ucits-etf-1c/
IE00BZ02LR44,Xtrackers MSCI World ESG UCITS ETF 1C,Actions,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BZ02LR44-msci-world-esg-ucits-etf-1c/
IE00BMY76136,Xtrackers MSCI World ESG UCITS ETF 2C EUR Hedged,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BMY76136-msci-world-esg-ucits-etf-2c-eur-hedged/
IE000E4BATC9,Xtrackers MSCI World ESG UCITS ETF 1D,Actions,"0,20",USD,Distribution,https://etf.dws.com/fr-fr/IE000E4BATC9-msci-world-esg-ucits-etf-1d/
IE00BGHQ0G80,Xtrackers MSCI AC World Screened UCITS ETF 1C,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BGHQ0G80-msci-ac-world-screened-ucits-etf-1c/
IE000VXC51U5,Xtrackers MSCI AC World Screened UCITS ETF 2C EUR Hedged,Actions,"0,37",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000VXC51U5-msci-ac-world-screened-ucits-etf-2c-eur-hedged/
IE000WGF1X01,Xtrackers MSCI AC World Screened UCITS ETF 5C USD Hedged,Actions,"0,37",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000WGF1X01-msci-ac-world-screened-ucits-etf-5c-usd-hedged/
