isin,ticker,name,issuer,index_tracked,replication,ter,source_url
DE0002635273,EXSB,"iShares DivDAX® UCITS ETF (DE) (the ""Fund""), ISIN: DE0002635273, is authorised in Germany and manufactured by BlackRock Asset",BlackRock (iShares),DIVDAX GR,physical,0.31,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0002635281,EXSG,"iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) (le « Fonds ») EUR Dist (la « Catégorie d'unités »), ISIN : DE0002635281, est",BlackRock (iShares),STOXX Eurozone Select Div 30 (EUR),physical,0.31,https://www.blackrock.com/fr/intermediaries/products/251788/ishares-euro-stoxx-select-dividend-30-ucits-etf-de-fund
DE0005933923,EXS3,"iShares MDAX® UCITS ETF (DE) (the ""Fund""), EUR Accu (the ""Unit Class""), ISIN: DE0005933923, is authorised in Germany and manufactured",BlackRock (iShares),MDAX (Performance Index) NET,physical,0.51,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933931,EXS1,"iShares Core DAX® UCITS ETF (DE) (the ""Fund""), EUR Accu (the ""Unit Class""), ISIN: DE0005933931, is authorised in Germany and",BlackRock Asset Management Deutschland AG,DAX (Performance index) NET (EUR),physical,0.16,https://live.euronext.com/en/products/etfs/list (pea=Yes)
DE0005933956,EXW1,"iShares Core EURO STOXX 50 UCITS ETF (DE) (the ""Fund""), ISIN: DE0005933956, is authorised in Germany and manufactured by BlackRock",BlackRock (iShares),STOXX Eurozone 50 (Net Return),physical,0.1,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0005933972,EXS2,"iShares TecDAX® UCITS ETF (DE) (the ""Fund""), EUR Accu (the ""Unit Class""), ISIN: DE0005933972, is authorised in Germany and",BlackRock (iShares),TecDAX (Performance Index) NET (EUR),physical,0.51,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE0006289309,EXX1,"iShares EURO STOXX Banks 30-15 UCITS ETF (DE) (the ""Fund""), EUR Dist (the ""Unit Class""), ISIN: DE0006289309, is authorised in Germany",BlackRock (iShares),EURO STOXX Banks 30-15 Net TR in EUR (EUR),physical,0.51,https://www.blackrock.com/fr/intermediaries/products/251784/ishares-euro-stoxx-banks-de-fund
DE000A0D8Q07,EXSI,"iShares EURO STOXX UCITS ETF (DE) (the ""Fund""), ISIN: DE000A0D8Q07, is authorised in Germany and manufactured by BlackRock Asset",BlackRock (iShares),STOXX Eurozone,physical,0.2,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0D8Q23,EXXX,"iShares ATX UCITS ETF (DE) (le « Fonds »), ISIN : DE000A0D8Q23, est autorisé en Allemagne et élaboré par BlackRock Asset Management",BlackRock (iShares),Austrian Traded Index (ATX) Wienerborse EUR NET,physical,0.33,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
DE000A0F5UG3,EXXV,"iShares Dow Jones Eurozone Leaders Screened UCITS ETF (DE) (the ""Fund""), ISIN: DE000A0F5UG3, is authorised in Germany and",BlackRock (iShares),"Dow Jones Sustainability Eurozone ex Alcohol, Tobacco, Gambling and others",physical,0.41,https://www.boursedirect.fr/api/instrument/v3/search?nature=tracker&pea=true
